[12/Mar/2025:08:39:22 +0000] - 200 200 - GET http phpmyadmin.localhost "/" [Client 127.0.0.1] [Length 3495] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "-"
[12/Mar/2025:09:03:40 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1479] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:09:03:40 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/version-check" [Client 127.0.0.1] [Length 64] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:09:03:40 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/navigation&ajax_request=1" [Client 127.0.0.1] [Length 2740] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:09:03:40 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1572] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:09:03:40 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/set" [Client 127.0.0.1] [Length 1470] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:09:03:53 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/server/privileges&viewing_mode=server" [Client 127.0.0.1] [Length 14713] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/"
[12/Mar/2025:09:03:53 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1572] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&viewing_mode=server"
[12/Mar/2025:09:03:53 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/navigation&ajax_request=1" [Client 127.0.0.1] [Length 2741] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&viewing_mode=server"
[12/Mar/2025:09:03:53 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1479] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&viewing_mode=server"
[12/Mar/2025:09:03:53 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/set" [Client 127.0.0.1] [Length 1470] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&viewing_mode=server"
[12/Mar/2025:09:04:12 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/server/privileges&adduser=1&ajax_request=true&ajax_page_request=true&_nocache=1741770252690203644&token=642148692b565125595a28486d235772" [Client 127.0.0.1] [Length 5215] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&viewing_mode=server"
[12/Mar/2025:09:04:47 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/server/privileges&ajax_request=true&server=1&validate_username=true&username=phpMyAdmin&_nocache=1741770287667112908&token=642148692b565125595a28486d235772" [Client 127.0.0.1] [Length 1592] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&adduser=1"
[12/Mar/2025:09:04:47 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/server/privileges" [Client 127.0.0.1] [Length 7675] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&adduser=1"
[12/Mar/2025:09:04:52 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/server/privileges&viewing_mode=server" [Client 127.0.0.1] [Length 15118] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&adduser=1"
[12/Mar/2025:09:04:52 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1479] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&viewing_mode=server"
[12/Mar/2025:09:04:52 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/navigation&ajax_request=1" [Client 127.0.0.1] [Length 2736] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&viewing_mode=server"
[12/Mar/2025:09:04:52 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1572] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&viewing_mode=server"
[12/Mar/2025:09:04:52 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/set" [Client 127.0.0.1] [Length 1470] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&viewing_mode=server"
[12/Mar/2025:09:05:06 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/server/privileges&adduser=1&ajax_request=true&ajax_page_request=true&_nocache=1741770306704940744&token=642148692b565125595a28486d235772" [Client 127.0.0.1] [Length 5215] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&viewing_mode=server"
[12/Mar/2025:09:05:10 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/server/privileges&ajax_request=true&server=1&validate_username=true&username=mahd&_nocache=1741770310699624818&token=642148692b565125595a28486d235772" [Client 127.0.0.1] [Length 1592] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&adduser=1"
[12/Mar/2025:09:05:27 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/server/privileges" [Client 127.0.0.1] [Length 7745] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&adduser=1"
[12/Mar/2025:09:05:36 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/server/import" [Client 127.0.0.1] [Length 15693] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/privileges&adduser=1"
[12/Mar/2025:09:05:36 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1572] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/import"
[12/Mar/2025:09:05:36 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/navigation&ajax_request=1" [Client 127.0.0.1] [Length 2735] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/import"
[12/Mar/2025:09:05:36 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1479] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/import"
[12/Mar/2025:09:05:36 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/set" [Client 127.0.0.1] [Length 1470] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/import"
[12/Mar/2025:09:06:08 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/import" [Client 127.0.0.1] [Length 12231] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/import"
[12/Mar/2025:09:06:08 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1481] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/import"
[12/Mar/2025:09:06:08 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/navigation&ajax_request=1" [Client 127.0.0.1] [Length 2922] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/import"
[12/Mar/2025:09:06:08 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1574] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/import"
[12/Mar/2025:09:06:08 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/set" [Client 127.0.0.1] [Length 1472] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/import"
[12/Mar/2025:09:08:42 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/server/import" [Client 127.0.0.1] [Length 15894] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/import"
[12/Mar/2025:09:08:43 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1574] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/import"
[12/Mar/2025:09:08:43 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/navigation&ajax_request=1" [Client 127.0.0.1] [Length 2923] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/import"
[12/Mar/2025:09:08:43 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1481] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/import"
[12/Mar/2025:09:08:43 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/set" [Client 127.0.0.1] [Length 1472] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/import"
[12/Mar/2025:09:08:58 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/import" [Client 127.0.0.1] [Length 11113] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/server/import"
[12/Mar/2025:09:08:59 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1574] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/import"
[12/Mar/2025:09:08:59 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/navigation&ajax_request=1" [Client 127.0.0.1] [Length 2922] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/import"
[12/Mar/2025:09:08:59 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1481] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/import"
[12/Mar/2025:09:08:59 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/set" [Client 127.0.0.1] [Length 1472] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/import"
[12/Mar/2025:09:09:32 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/database/structure&eq=MNl4j9Br05V2TVBJnSNwURCFjR0MnUbeH6DmB3KkVOIRIORmbCIfnVGl5xDNcWoWJFqY8L8n2WJ2vL33&ajax_request=true&ajax_page_request=true&_nocache=1741770572303734283&token=642148692b565125595a28486d235772" [Client 127.0.0.1] [Length 4310] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/import"
[12/Mar/2025:09:09:32 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/navigation&ajax_request=1" [Client 127.0.0.1] [Length 1498] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/database/structure&eq=MNl4j9Br05V2TVBJnSNwURCFjR0MnUbeH6DmB3KkVOIRIORmbCIfnVGl5xDNcWoWJFqY8L8n2WJ2vL33"
[12/Mar/2025:09:09:45 +0000] - 200 200 - GET http phpmyadmin.localhost "/index.php?route=/database/operations&eq=o5zGV39bQRhsfTgWGb5FInBLR9V1R-qF247LNi3PnB2gwOMu1KLMRErO1h_AXwwWogiSUHI_O2ixBWKa" [Client 127.0.0.1] [Length 26194] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/database/structure&eq=MNl4j9Br05V2TVBJnSNwURCFjR0MnUbeH6DmB3KkVOIRIORmbCIfnVGl5xDNcWoWJFqY8L8n2WJ2vL33"
[12/Mar/2025:09:09:45 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/navigation&ajax_request=1" [Client 127.0.0.1] [Length 2934] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/database/operations&eq=o5zGV39bQRhsfTgWGb5FInBLR9V1R-qF247LNi3PnB2gwOMu1KLMRErO1h_AXwwWogiSUHI_O2ixBWKa"
[12/Mar/2025:09:09:45 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1574] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/database/operations&eq=o5zGV39bQRhsfTgWGb5FInBLR9V1R-qF247LNi3PnB2gwOMu1KLMRErO1h_AXwwWogiSUHI_O2ixBWKa"
[12/Mar/2025:09:09:45 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/get" [Client 127.0.0.1] [Length 1481] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/database/operations&eq=o5zGV39bQRhsfTgWGb5FInBLR9V1R-qF247LNi3PnB2gwOMu1KLMRErO1h_AXwwWogiSUHI_O2ixBWKa"
[12/Mar/2025:09:09:45 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php?route=/config/set" [Client 127.0.0.1] [Length 1472] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/database/operations&eq=o5zGV39bQRhsfTgWGb5FInBLR9V1R-qF247LNi3PnB2gwOMu1KLMRErO1h_AXwwWogiSUHI_O2ixBWKa"
[12/Mar/2025:09:09:50 +0000] - 200 200 - POST http phpmyadmin.localhost "/index.php" [Client 127.0.0.1] [Length 2140] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "http://phpmyadmin.localhost/index.php?route=/database/operations&eq=o5zGV39bQRhsfTgWGb5FInBLR9V1R-qF247LNi3PnB2gwOMu1KLMRErO1h_AXwwWogiSUHI_O2ixBWKa"
